Year,Race,Level,Total,Subtotal
1980,Unknown,Undergraduate ,26398,47
1980,Unknown,Graduate ,7323,111
1980,Unknown,Professional ,965,3
1979,Unknown,Overall,34244,289
1979,Unknown,Undergraduate ,26026,138
1979,Unknown,Graduate ,7269,138
1979,Unknown,Professional ,949,13
1978,Unknown,Overall,33555,215
1978,Unknown,Undergraduate ,25324,69
1978,Unknown,Graduate ,7268,134
1978,Unknown,Professional ,963,12
1977,Unknown,Overall,33677,317
1977,Unknown,Undergraduate ,25218,119
1977,Unknown,Graduate ,7485,177
1977,Unknown,Professional ,974,21
1976,Unknown,Overall,33415,717
1976,Unknown,Undergraduate ,24748,402
1976,Unknown,Graduate ,7690,275
1976,Unknown,Professional ,977,40
1975,Unknown,Overall,34994,1104
1975,Unknown,Undergraduate ,25771,636
1975,Unknown,Graduate ,8258,394
1975,Unknown,Professional ,965,74
1974,Unknown,Overall,34953,1949
1974,Unknown,Undergraduate ,25828,939
1974,Unknown,Graduate ,8192,766
1974,Unknown,Professional ,933,244
1973,Unknown,Overall,34616,1363
1973,Unknown,Undergraduate ,25776,607
1973,Unknown,Graduate ,7895,698
1973,Unknown,Professional ,945,58
1972,Unknown,Overall,33824,1893
1972,Unknown,Undergraduate ,24694,1055
1972,Unknown,Graduate ,8117,803
1972,Unknown,Professional ,1013,35
1971,Unknown,Overall,32280,1613
1971,Unknown,Undergraduate ,23105,655
1971,Unknown,Graduate ,8127,926
1971,Unknown,Professional ,1048,32
1970,Unknown,Overall,34018,1144
1970,Unknown,Undergraduate ,24558,499
1970,Unknown,Graduate ,8458,619
1970,Unknown,Professional ,1002,26
1969,Unknown,Overall,32759,3793
1969,Unknown,Undergraduate ,23431,2376
1969,Unknown,Graduate ,8462,1336
1969,Unknown,Professional ,866,81
1968,Unknown,Overall,31843,3336
1968,Unknown,Undergraduate ,22944,2131
1968,Unknown,Graduate ,8046,1124
1968,Unknown,Professional ,853,81
2017,Native American,Overall,47826,25
2017,Native American,Undergraduate ,33624,16
2017,Native American,Graduate ,13210,9
2017,Native American,Professional ,992,0
2016,Native American,Overall,44880,35
2016,Native American,Undergraduate ,33467,22
2016,Native American,Graduate ,10428,12
2016,Native American,Professional ,985,1
2015,Native American,Overall,44087,37
2015,Native American,Undergraduate ,32878,21
2015,Native American,Graduate ,10245,16
2015,Native American,Professional ,964,0
2014,Native American,Overall,43603,36
2014,Native American,Undergraduate ,32579,18
2014,Native American,Graduate ,10037,17
2014,Native American,Professional ,987,1
2013,Native American,Overall,43398,35
2013,Native American,Undergraduate ,32294,18
2013,Native American,Graduate ,10080,16
2013,Native American,Professional ,1024,1
2012,Native American,Overall,42883,47
2012,Native American,Undergraduate ,31901,30
2012,Native American,Graduate ,9881,15
2012,Native American,Professional ,1101,2
2011,Native American,Overall,42606,57
2011,Native American,Undergraduate ,31932,36
2011,Native American,Graduate ,9551,18
2011,Native American,Professional ,1123,3
2010,Native American,Overall,41949,57
2010,Native American,Undergraduate ,31252,45
2010,Native American,Graduate ,9584,8
2010,Native American,Professional ,1113,4
2009,Native American,Overall,41918,114
2009,Native American,Undergraduate ,31209,85
2009,Native American,Graduate ,9630,23
2009,Native American,Professional ,1079,6
2008,Native American,Overall,41495,120
2008,Native American,Undergraduate ,31173,90
2008,Native American,Graduate ,9290,23
2008,Native American,Professional ,1032,7
2007,Native American,Overall,40923,107
2007,Native American,Undergraduate ,30688,83
2007,Native American,Graduate ,9225,20
2007,Native American,Professional ,1010,4
2006,Native American,Overall,41180,120
2006,Native American,Undergraduate ,30930,94
