Year,Race,Level,Total,Subtotal
1975,Asian American,Professional ,965,3
1974,Asian American,Overall,34953,397
1974,Asian American,Undergraduate ,25828,304
1974,Asian American,Graduate ,8192,90
1974,Asian American,Professional ,933,3
1973,Asian American,Overall,34616,382
1973,Asian American,Undergraduate ,25776,300
1973,Asian American,Graduate ,7895,79
1973,Asian American,Professional ,945,3
1972,Asian American,Overall,33824,363
1972,Asian American,Undergraduate ,24694,284
1972,Asian American,Graduate ,8117,74
1972,Asian American,Professional ,1013,5
1971,Asian American,Overall,32280,363
1971,Asian American,Undergraduate ,23105,292
1971,Asian American,Graduate ,8127,66
1971,Asian American,Professional ,1048,5
1970,Asian American,Overall,34018,400
1970,Asian American,Undergraduate ,24558,330
1970,Asian American,Graduate ,8458,65
1970,Asian American,Professional ,1002,5
1969,Asian American,Overall,32759,382
1969,Asian American,Undergraduate ,23431,307
1969,Asian American,Graduate ,8462,71
1969,Asian American,Professional ,866,4
1968,Asian American,Overall,31843,385
1968,Asian American,Undergraduate ,22944,310
1968,Asian American,Graduate ,8046,72
1968,Asian American,Professional ,853,3
2017,Hispanic/Latino,Overall,47826,4439
2017,Hispanic/Latino,Undergraduate ,33624,3748
2017,Hispanic/Latino,Graduate ,13210,633
2017,Hispanic/Latino,Professional ,992,58
2016,Hispanic/Latino,Overall,44880,3949
2016,Hispanic/Latino,Undergraduate ,33467,3453
2016,Hispanic/Latino,Graduate ,10428,444
2016,Hispanic/Latino,Professional ,985,52
2015,Hispanic/Latino,Overall,44087,3592
2015,Hispanic/Latino,Undergraduate ,32878,3108
2015,Hispanic/Latino,Graduate ,10245,431
2015,Hispanic/Latino,Professional ,964,53
2014,Hispanic/Latino,Overall,43603,3303
2014,Hispanic/Latino,Undergraduate ,32579,2819
2014,Hispanic/Latino,Graduate ,10037,431
2014,Hispanic/Latino,Professional ,987,53
2013,Hispanic/Latino,Overall,43398,3119
2013,Hispanic/Latino,Undergraduate ,32294,2643
2013,Hispanic/Latino,Graduate ,10080,403
2013,Hispanic/Latino,Professional ,1024,73
2012,Hispanic/Latino,Overall,42883,2831
2012,Hispanic/Latino,Undergraduate ,31901,2381
2012,Hispanic/Latino,Graduate ,9881,364
2012,Hispanic/Latino,Professional ,1101,86
2011,Hispanic/Latino,Overall,42606,2680
2011,Hispanic/Latino,Undergraduate ,31932,2237
2011,Hispanic/Latino,Graduate ,9551,361
2011,Hispanic/Latino,Professional ,1123,82
2010,Hispanic/Latino,Overall,41949,2541
2010,Hispanic/Latino,Undergraduate ,31252,2144
2010,Hispanic/Latino,Graduate ,9584,330
2010,Hispanic/Latino,Professional ,1113,67
2009,Hispanic/Latino,Overall,41918,2470
2009,Hispanic/Latino,Undergraduate ,31209,2106
2009,Hispanic/Latino,Graduate ,9630,321
2009,Hispanic/Latino,Professional ,1079,43
2008,Hispanic/Latino,Overall,41495,2504
2008,Hispanic/Latino,Undergraduate ,31173,2127
2008,Hispanic/Latino,Graduate ,9290,331
2008,Hispanic/Latino,Professional ,1032,46
2007,Hispanic/Latino,Overall,40923,2489
2007,Hispanic/Latino,Undergraduate ,30688,2128
2007,Hispanic/Latino,Graduate ,9225,319
2007,Hispanic/Latino,Professional ,1010,42
2006,Hispanic/Latino,Overall,41180,2464
2006,Hispanic/Latino,Undergraduate ,30930,2118
2006,Hispanic/Latino,Graduate ,9205,293
2006,Hispanic/Latino,Professional ,1045,53
2005,Hispanic/Latino,Overall,40510,2286
2005,Hispanic/Latino,Undergraduate ,30449,1942
2005,Hispanic/Latino,Graduate ,9032,289
2005,Hispanic/Latino,Professional ,1029,55
2004,Hispanic/Latino,Overall,39516,2192
2004,Hispanic/Latino,Undergraduate ,29284,1859
2004,Hispanic/Latino,Graduate ,9164,277
2004,Hispanic/Latino,Professional ,1068,56
2003,Hispanic/Latino,Overall,38872,2108
2003,Hispanic/Latino,Undergraduate ,28591,1819
2003,Hispanic/Latino,Graduate ,9216,242
2003,Hispanic/Latino,Professional ,1065,47
2002,Hispanic/Latino,Overall,38263,1943
2002,Hispanic/Latino,Undergraduate ,28243,1699
2002,Hispanic/Latino,Graduate ,8966,199
2002,Hispanic/Latino,Professional ,1054,45
2001,Hispanic/Latino,Overall,37684,1880
2001,Hispanic/Latino,Undergraduate ,28114,1643
2001,Hispanic/Latino,Graduate ,8509,187
2001,Hispanic/Latino,Professional ,1061,50
2000,Hispanic/Latino,Overall,36936,1856
2000,Hispanic/Latino,Undergraduate ,27882,1590
2000,Hispanic/Latino,Graduate ,8055,208
2000,Hispanic/Latino,Professional ,999,58
1999,Hispanic/Latino,Overall,36690,1735
1999,Hispanic/Latino,Undergraduate ,27855,1499
1999,Hispanic/Latino,Graduate ,7874,178
1999,Hispanic/Latino,Professional ,961,58
1998,Hispanic/Latino,Overall,36303,1712
1998,Hispanic/Latino,Undergraduate ,27452,1450
1998,Hispanic/Latino,Graduate ,7910,209
1998,Hispanic/Latino,Professional ,941,53
1997,Hispanic/Latino,Overall,35979,1661
1997,Hispanic/Latino,Undergraduate ,26838,1411
1997,Hispanic/Latino,Graduate ,8189,197
1997,Hispanic/Latino,Professional ,952,53
1996,Hispanic/Latino,Overall,36124,1661
1996,Hispanic/Latino,Undergraduate ,26707,1417
1996,Hispanic/Latino,Graduate ,8471,199
1996,Hispanic/Latino,Professional ,946,45
1995,Hispanic/Latino,Overall,36395,1687
1995,Hispanic/Latino,Undergraduate ,26665,1455
1995,Hispanic/Latino,Graduate ,8794,189
1995,Hispanic/Latino,Professional ,961,43
1994,Hispanic/Latino,Overall,36137,1638
1994,Hispanic/Latino,Undergraduate ,26312,1424
1994,Hispanic/Latino,Graduate ,8898,178
1994,Hispanic/Latino,Professional ,927,36
1993,Hispanic/Latino,Overall,36374,1579
1993,Hispanic/Latino,Undergraduate ,26296,1395
1993,Hispanic/Latino,Graduate ,9154,148
1993,Hispanic/Latino,Professional ,924,36
1992,Hispanic/Latino,Overall,35760,1470
1992,Hispanic/Latino,Undergraduate ,25812,1308
1992,Hispanic/Latino,Graduate ,9021,126
1992,Hispanic/Latino,Professional ,927,36
1991,Hispanic/Latino,Overall,36081,1369
1991,Hispanic/Latino,Undergraduate ,26328,1219
1991,Hispanic/Latino,Graduate ,8824,126
1991,Hispanic/Latino,Professional ,929,24
1990,Hispanic/Latino,Overall,35699,1266
1990,Hispanic/Latino,Undergraduate ,26395,1133
1990,Hispanic/Latino,Graduate ,8400,108
1990,Hispanic/Latino,Professional ,904,25
1989,Hispanic/Latino,Overall,34972,1103
1989,Hispanic/Latino,Undergraduate ,25908,974
1989,Hispanic/Latino,Graduate ,8157,114
1989,Hispanic/Latino,Professional ,907,15
1988,Hispanic/Latino,Overall,35970,951
1988,Hispanic/Latino,Undergraduate ,26814,820
1988,Hispanic/Latino,Graduate ,8250,112
1988,Hispanic/Latino,Professional ,906,19
1987,Hispanic/Latino,Overall,36282,792
1987,Hispanic/Latino,Undergraduate ,27022,668
1987,Hispanic/Latino,Graduate ,8341,108
1987,Hispanic/Latino,Professional ,919,16
1986,Hispanic/Latino,Overall,36266,699
1986,Hispanic/Latino,Undergraduate ,27147,580
1986,Hispanic/Latino,Graduate ,8175,108
1986,Hispanic/Latino,Professional ,944,11
1985,Hispanic/Latino,Overall,35928,622
1985,Hispanic/Latino,Undergraduate ,27180,520
1985,Hispanic/Latino,Graduate ,7823,90
1985,Hispanic/Latino,Professional ,925,12
1984,Hispanic/Latino,Overall,34695,562
1984,Hispanic/Latino,Undergraduate ,26069,464
1984,Hispanic/Latino,Graduate ,7684,84
1984,Hispanic/Latino,Professional ,942,14
1983,Hispanic/Latino,Overall,34548,559
1983,Hispanic/Latino,Undergraduate ,25930,458
1983,Hispanic/Latino,Graduate ,7644,87
1983,Hispanic/Latino,Professional ,974,14
1982,Hispanic/Latino,Overall,34849,524
1982,Hispanic/Latino,Undergraduate ,26260,418
1982,Hispanic/Latino,Graduate ,7613,93
1982,Hispanic/Latino,Professional ,976,13
1981,Hispanic/Latino,Overall,35066,485
1981,Hispanic/Latino,Undergraduate ,26530,389
1981,Hispanic/Latino,Graduate ,7564,89
1981,Hispanic/Latino,Professional ,972,7
1980,Hispanic/Latino,Overall,34686,451
1980,Hispanic/Latino,Undergraduate ,26398,358
1980,Hispanic/Latino,Graduate ,7323,83
1980,Hispanic/Latino,Professional ,965,10
1979,Hispanic/Latino,Overall,34244,389
1979,Hispanic/Latino,Undergraduate ,26026,287
1979,Hispanic/Latino,Graduate ,7269,92
1979,Hispanic/Latino,Professional ,949,10
1978,Hispanic/Latino,Overall,33555,355
1978,Hispanic/Latino,Undergraduate ,25324,242
1978,Hispanic/Latino,Graduate ,7268,99
1978,Hispanic/Latino,Professional ,963,14
1977,Hispanic/Latino,Overall,33677,343
1977,Hispanic/Latino,Undergraduate ,25218,232
1977,Hispanic/Latino,Graduate ,7485,101
1977,Hispanic/Latino,Professional ,974,10
1976,Hispanic/Latino,Overall,33415,285
1976,Hispanic/Latino,Undergraduate ,24748,199
1976,Hispanic/Latino,Graduate ,7690,78
1976,Hispanic/Latino,Professional ,977,8
1975,Hispanic/Latino,Overall,34994,240
1975,Hispanic/Latino,Undergraduate ,25771,166
1975,Hispanic/Latino,Graduate ,8258,68
1975,Hispanic/Latino,Professional ,965,6
1974,Hispanic/Latino,Overall,34953,212
1974,Hispanic/Latino,Undergraduate ,25828,148
1974,Hispanic/Latino,Graduate ,8192,60
1974,Hispanic/Latino,Professional ,933,4
1973,Hispanic/Latino,Overall,34616,165
1973,Hispanic/Latino,Undergraduate ,25776,109
1973,Hispanic/Latino,Graduate ,7895,47
1973,Hispanic/Latino,Professional ,945,9
1972,Hispanic/Latino,Overall,33824,145
1972,Hispanic/Latino,Undergraduate ,24694,104
1972,Hispanic/Latino,Graduate ,8117,33
1972,Hispanic/Latino,Professional ,1013,8
1971,Hispanic/Latino,Overall,32280,145
1971,Hispanic/Latino,Undergraduate ,23105,96
1971,Hispanic/Latino,Graduate ,8127,40
1971,Hispanic/Latino,Professional ,1048,9
1970,Hispanic/Latino,Overall,34018,180
1970,Hispanic/Latino,Undergraduate ,24558,121
1970,Hispanic/Latino,Graduate ,8458,52
1970,Hispanic/Latino,Professional ,1002,7
1969,Hispanic/Latino,Overall,32759,163
1969,Hispanic/Latino,Undergraduate ,23431,108
1969,Hispanic/Latino,Graduate ,8462,48
1969,Hispanic/Latino,Professional ,866,7
1968,Hispanic/Latino,Overall,31843,142
1968,Hispanic/Latino,Undergraduate ,22944,103
1968,Hispanic/Latino,Graduate ,8046,33
1968,Hispanic/Latino,Professional ,853,6
2017,White,Overall,47826,20778
2017,White,Undergraduate ,33624,15061
2017,White,Graduate ,13210,5009
2017,White,Professional ,992,708
2016,White,Overall,44880,19721
2016,White,Undergraduate ,33467,15467
2016,White,Graduate ,10428,3575
2016,White,Professional ,985,679
2015,White,Overall,44087,20068
2015,White,Undergraduate ,32878,15695
2015,White,Graduate ,10245,3741
2015,White,Professional ,964,632
2014,White,Overall,43603,20774
2014,White,Undergraduate ,32579,16368
2014,White,Graduate ,10037,3808
2014,White,Professional ,987,598
2013,White,Overall,43398,21688
2013,White,Undergraduate ,32294,17010
2013,White,Graduate ,10080,4021
2013,White,Professional ,1024,657
2012,White,Overall,42883,22677
2012,White,Undergraduate ,31901,17826
2012,White,Graduate ,9881,4109
2012,White,Professional ,1101,742
2011,White,Overall,42606,23484
2011,White,Undergraduate ,31932,18569
2011,White,Graduate ,9551,4128
2011,White,Professional ,1123,787
2010,White,Overall,41949,24024
2010,White,Undergraduate ,31252,18879
2010,White,Graduate ,9584,4310
2010,White,Professional ,1113,835
2009,White,Overall,41918,24248
2009,White,Undergraduate ,31209,19182
2009,White,Graduate ,9630,4370
2009,White,Professional ,1079,696
2008,White,Overall,41495,24767
2008,White,Undergraduate ,31173,19820
2008,White,Graduate ,9290,4333
2008,White,Professional ,1032,614
2007,White,Overall,40923,25042
2007,White,Undergraduate ,30688,20142
2007,White,Graduate ,9225,4293
2007,White,Professional ,1010,607
2006,White,Overall,41180,25499
2006,White,Undergraduate ,30930,20628
2006,White,Graduate ,9205,4291
2006,White,Professional ,1045,580
2005,White,Overall,40510,25527
2005,White,Undergraduate ,30449,20593
2005,White,Graduate ,9032,4273
2005,White,Professional ,1029,661
2004,White,Overall,39516,24909
2004,White,Undergraduate ,29284,19841
2004,White,Graduate ,9164,4332
2004,White,Professional ,1068,736
2003,White,Overall,38872,24284
2003,White,Undergraduate ,28591,19327
2003,White,Graduate ,9216,4190
2003,White,Professional ,1065,767
2002,White,Overall,38263,24267
2002,White,Undergraduate ,28243,19434
2002,White,Graduate ,8966,4053
2002,White,Professional ,1054,780
2001,White,Overall,37684,24164
2001,White,Undergraduate ,28114,19513
2001,White,Graduate ,8509,3866
2001,White,Professional ,1061,785
2000,White,Overall,36936,24066
2000,White,Undergraduate ,27882,19558
2000,White,Graduate ,8055,3760
2000,White,Professional ,999,748
1999,White,Overall,36690,24403
1999,White,Undergraduate ,27855,19716
1999,White,Graduate ,7874,3966
1999,White,Professional ,961,721
1998,White,Overall,36303,24264
1998,White,Undergraduate ,27452,19411
1998,White,Graduate ,7910,4135
1998,White,Professional ,941,718
1997,White,Overall,35979,24211
1997,White,Undergraduate ,26838,19120
1997,White,Graduate ,8189,4360
1997,White,Professional ,952,731
1996,White,Overall,36124,24519
1996,White,Undergraduate ,26707,19156
1996,White,Graduate ,8471,4627
1996,White,Professional ,946,736
1995,White,Overall,36395,24862
1995,White,Undergraduate ,26665,19213
1995,White,Graduate ,8794,4905
1995,White,Professional ,961,748
1994,White,Overall,36137,24684
1994,White,Undergraduate ,26312,18952
1994,White,Graduate ,8898,4989
1994,White,Professional ,927,743
1993,White,Overall,36374,25196
1993,White,Undergraduate ,26296,19165
1993,White,Graduate ,9154,5273
1993,White,Professional ,924,758
1992,White,Overall,35760,25226
1992,White,Undergraduate ,25812,19140
1992,White,Graduate ,9021,5309
1992,White,Professional ,927,777
1991,White,Overall,36081,26023
1991,White,Undergraduate ,26328,19910
1991,White,Graduate ,8824,5299
1991,White,Professional ,929,814
1990,White,Overall,35699,26027
1990,White,Undergraduate ,26395,20218
1990,White,Graduate ,8400,5021
1990,White,Professional ,904,788
1989,White,Overall,34972,26258
1989,White,Undergraduate ,25908,20432
1989,White,Graduate ,8157,4998
1989,White,Professional ,907,828
1988,White,Overall,35970,27819
1988,White,Undergraduate ,26814,21777
1988,White,Graduate ,8250,5207
1988,White,Professional ,906,835
1987,White,Overall,36282,28886
1987,White,Undergraduate ,27022,22593
1987,White,Graduate ,8341,5432
1987,White,Professional ,919,861
1986,White,Overall,36266,29514
1986,White,Undergraduate ,27147,23195
1986,White,Graduate ,8175,5428
1986,White,Professional ,944,891
1985,White,Overall,35928,29736
1985,White,Undergraduate ,27180,23536
1985,White,Graduate ,7823,5340
1985,White,Professional ,925,860
1984,White,Overall,34695,28976
1984,White,Undergraduate ,26069,22746
1984,White,Graduate ,7684,5356
1984,White,Professional ,942,874
1983,White,Overall,34548,29345
1983,White,Undergraduate ,25930,22940
1983,White,Graduate ,7644,5485
1983,White,Professional ,974,920
1982,White,Overall,34849,29910
1982,White,Undergraduate ,26260,23479
1982,White,Graduate ,7613,5495
1982,White,Professional ,976,936
1981,White,Overall,35066,30374
1981,White,Undergraduate ,26530,23830
1981,White,Graduate ,7564,5609
1981,White,Professional ,972,935
1980,White,Overall,34686,30247
1980,White,Undergraduate ,26398,23815
1980,White,Graduate ,7323,5508
1980,White,Professional ,965,924
1979,White,Overall,34244,29988
1979,White,Undergraduate ,26026,23568
1979,White,Graduate ,7269,5518
1979,White,Professional ,949,902
1978,White,Overall,33555,29645
1978,White,Undergraduate ,25324,23197
1978,White,Graduate ,7268,5545
1978,White,Professional ,963,903
1977,White,Overall,33677,29886
1977,White,Undergraduate ,25218,23193
1977,White,Graduate ,7485,5789
1977,White,Professional ,974,904
1976,White,Overall,33415,29453
1976,White,Undergraduate ,24748,22595
1976,White,Graduate ,7690,5971
1976,White,Professional ,977,887
1975,White,Overall,34994,30742
1975,White,Undergraduate ,25771,23543
1975,White,Graduate ,8258,6349
1975,White,Professional ,965,850
1974,White,Overall,34953,30038
1974,White,Undergraduate ,25828,23376
1974,White,Graduate ,8192,6012
1974,White,Professional ,933,650
1973,White,Overall,34616,30230
1973,White,Undergraduate ,25776,23577
1973,White,Graduate ,7895,5818
1973,White,Professional ,945,835
1972,White,Overall,33824,28724
1972,White,Undergraduate ,24694,21928
1972,White,Graduate ,8117,5875
1972,White,Professional ,1013,921
1971,White,Overall,32280,27447
1971,White,Undergraduate ,23105,20769
1971,White,Graduate ,8127,5720
1971,White,Professional ,1048,958
1970,White,Overall,34018,29352
1970,White,Undergraduate ,24558,22306
1970,White,Graduate ,8458,6134
1970,White,Professional ,1002,912
1969,White,Overall,32759,25634
1969,White,Undergraduate ,23431,19368
1969,White,Graduate ,8462,5525
1969,White,Professional ,866,741
1968,White,Overall,31843,25347
1968,White,Undergraduate ,22944,18999
1968,White,Graduate ,8046,5614
1968,White,Professional ,853,734
2017,International,Overall,47826,11084
2017,International,Undergraduate ,33624,5569
2017,International,Graduate ,13210,5451
2017,International,Professional ,992,64
2016,International,Overall,44880,10700
2016,International,Undergraduate ,33467,5537
2016,International,Graduate ,10428,5097
2016,International,Professional ,985,66
2015,International,Overall,44087,10381
2015,International,Undergraduate ,32878,5511
2015,International,Graduate ,10245,4819
2015,International,Professional ,964,51
2014,International,Overall,43603,9871
2014,International,Undergraduate ,32579,5332
2014,International,Graduate ,10037,4484
2014,International,Professional ,987,55
2013,International,Overall,43398,9407
2013,International,Undergraduate ,32294,4990
2013,International,Graduate ,10080,4378
2013,International,Professional ,1024,39
2012,International,Overall,42883,8648
2012,International,Undergraduate ,31901,4447
2012,International,Graduate ,9881,4169
2012,International,Professional ,1101,32
2011,International,Overall,42606,8009
2011,International,Undergraduate ,31932,4154
2011,International,Graduate ,9551,3831
2011,International,Professional ,1123,24
2010,International,Overall,41949,7223
2010,International,Undergraduate ,31252,3484
2010,International,Graduate ,9584,3715
2010,International,Professional ,1113,24
2009,International,Overall,41918,6491
2009,International,Undergraduate ,31209,2774
2009,International,Graduate ,9630,3689
2009,International,Professional ,1079,28
2008,International,Overall,41495,5726
2008,International,Undergraduate ,31173,2225
2008,International,Graduate ,9290,3477
2008,International,Professional ,1032,24
2007,International,Overall,40923,5200
2007,International,Undergraduate ,30688,1689
2007,International,Graduate ,9225,3485
2007,International,Professional ,1010,26
2006,International,Overall,41180,5081
2006,International,Undergraduate ,30930,1554
2006,International,Graduate ,9205,3503
2006,International,Professional ,1045,24
2005,International,Overall,40510,4807
2005,International,Undergraduate ,30449,1440
2005,International,Graduate ,9032,3349
2005,International,Professional ,1029,18
2004,International,Overall,39516,4748
2004,International,Undergraduate ,29284,1287
2004,International,Graduate ,9164,3446
2004,International,Professional ,1068,15
2003,International,Overall,38872,4755
2003,International,Undergraduate ,28591,1129
2003,International,Graduate ,9216,3613
2003,International,Professional ,1065,13
2002,International,Overall,38263,4552
2002,International,Undergraduate ,28243,952
2002,International,Graduate ,8966,3589
2002,International,Professional ,1054,11
2001,International,Overall,37684,4283
2001,International,Undergraduate ,28114,871
2001,International,Graduate ,8509,3395
2001,International,Professional ,1061,17
2000,International,Overall,36936,3765
2000,International,Undergraduate ,27882,649
2000,International,Graduate ,8055,3102
2000,International,Professional ,999,14
1999,International,Overall,36690,3410
1999,International,Undergraduate ,27855,542
1999,International,Graduate ,7874,2863
1999,International,Professional ,961,5
1998,International,Overall,36303,3238
1998,International,Undergraduate ,27452,540
1998,International,Graduate ,7910,2693
1998,International,Professional ,941,5
1997,International,Overall,35979,3208
1997,International,Undergraduate ,26838,506
1997,International,Graduate ,8189,2698
1997,International,Professional ,952,4
1996,International,Overall,36124,3119
1996,International,Undergraduate ,26707,481
1996,International,Graduate ,8471,2626
1996,International,Professional ,946,12
1995,International,Overall,36395,3085
1995,International,Undergraduate ,26665,435
1995,International,Graduate ,8794,2639
1995,International,Professional ,961,11
1994,International,Overall,36137,3115
1994,International,Undergraduate ,26312,417
1994,International,Graduate ,8898,2693
1994,International,Professional ,927,5
1993,International,Overall,36374,3163
1993,International,Undergraduate ,26296,430
1993,International,Graduate ,9154,2730
1993,International,Professional ,924,3
1992,International,Overall,35760,3039
1992,International,Undergraduate ,25812,402
1992,International,Graduate ,9021,2636
1992,International,Professional ,927,1
1991,International,Overall,36081,2864
1991,International,Undergraduate ,26328,357
1991,International,Graduate ,8824,2504
1991,International,Professional ,929,3
1990,International,Overall,35699,2704
1990,International,Undergraduate ,26395,315
1990,International,Graduate ,8400,2387
1990,International,Professional ,904,2
1989,International,Overall,34972,2555
1989,International,Undergraduate ,25908,300
1989,International,Graduate ,8157,2254
1989,International,Professional ,907,1
1988,International,Overall,35970,2444
1988,International,Undergraduate ,26814,262
1988,International,Graduate ,8250,2182
1988,International,Professional ,906,0
1987,International,Overall,36282,2326
1987,International,Undergraduate ,27022,239
1987,International,Graduate ,8341,2087
1987,International,Professional ,919,0
1986,International,Overall,36266,2132
1986,International,Undergraduate ,27147,225
1986,International,Graduate ,8175,1907
1986,International,Professional ,944,0
1985,International,Overall,35928,1888
1985,International,Undergraduate ,27180,210
1985,International,Graduate ,7823,1678
1985,International,Professional ,925,0
1984,International,Overall,34695,1700
1984,International,Undergraduate ,26069,189
1984,International,Graduate ,7684,1511
1984,International,Professional ,942,0
1983,International,Overall,34548,1612
1983,International,Undergraduate ,25930,203
1983,International,Graduate ,7644,1409
1983,International,Professional ,974,0
1982,International,Overall,34849,1551
1982,International,Undergraduate ,26260,220
1982,International,Graduate ,7613,1331
1982,International,Professional ,976,0
1981,International,Overall,35066,1538
1981,International,Undergraduate ,26530,240
1981,International,Graduate ,7564,1298
1981,International,Professional ,972,0
1980,International,Overall,34686,1443
1980,International,Undergraduate ,26398,229
1980,International,Graduate ,7323,1214
1980,International,Professional ,965,0
1979,International,Overall,34244,1366
1979,International,Undergraduate ,26026,228
1979,International,Graduate ,7269,1138
1979,International,Professional ,949,0
1978,International,Overall,33555,1313
1978,International,Undergraduate ,25324,212
1978,International,Graduate ,7268,1101
1978,International,Professional ,963,0
1977,International,Overall,33677,1236
1977,International,Undergraduate ,25218,193
1977,International,Graduate ,7485,1043
1977,International,Professional ,974,0
1976,International,Overall,33415,1138
1976,International,Undergraduate ,24748,166
1976,International,Graduate ,7690,972
1976,International,Professional ,977,0
1975,International,Overall,34994,1209
1975,International,Undergraduate ,25771,167
1975,International,Graduate ,8258,1042
1975,International,Professional ,965,0
1974,International,Overall,34953,1177
1974,International,Undergraduate ,25828,190
1974,International,Graduate ,8192,986
1974,International,Professional ,933,1
1973,International,Overall,34616,1120
1973,International,Undergraduate ,25776,181
1973,International,Graduate ,7895,938
1973,International,Professional ,945,1
1972,International,Overall,33824,1145
1972,International,Undergraduate ,24694,142
1972,International,Graduate ,8117,1003
1972,International,Professional ,1013,0
1971,International,Overall,32280,1137
1971,International,Undergraduate ,23105,84
1971,International,Graduate ,8127,1053
1971,International,Professional ,1048,0
1970,International,Overall,34018,1342
1970,International,Undergraduate ,24558,85
1970,International,Graduate ,8458,1256
1970,International,Professional ,1002,1
1969,International,Overall,32759,1307
1969,International,Undergraduate ,23431,93
1969,International,Graduate ,8462,1213
1969,International,Professional ,866,1
1968,International,Overall,31843,1156
1968,International,Undergraduate ,22944,139
1968,International,Graduate ,8046,1013
1968,International,Professional ,853,4
2017,Hawaiian/Pacific Islander,Overall,47826,29
2017,Hawaiian/Pacific Islander,Undergraduate ,33624,23
2017,Hawaiian/Pacific Islander,Graduate ,13210,6
2017,Hawaiian/Pacific Islander,Professional ,992,0
2016,Hawaiian/Pacific Islander,Overall,44880,27
2016,Hawaiian/Pacific Islander,Undergraduate ,33467,24
2016,Hawaiian/Pacific Islander,Graduate ,10428,3
2016,Hawaiian/Pacific Islander,Professional ,985,0
2015,Hawaiian/Pacific Islander,Overall,44087,30
2015,Hawaiian/Pacific Islander,Undergraduate ,32878,24
2015,Hawaiian/Pacific Islander,Graduate ,10245,5
2015,Hawaiian/Pacific Islander,Professional ,964,1
2014,Hawaiian/Pacific Islander,Overall,43603,45
2014,Hawaiian/Pacific Islander,Undergraduate ,32579,36
2014,Hawaiian/Pacific Islander,Graduate ,10037,8
2014,Hawaiian/Pacific Islander,Professional ,987,1
2013,Hawaiian/Pacific Islander,Overall,43398,55
2013,Hawaiian/Pacific Islander,Undergraduate ,32294,48
2013,Hawaiian/Pacific Islander,Graduate ,10080,6
2013,Hawaiian/Pacific Islander,Professional ,1024,1
2012,Hawaiian/Pacific Islander,Overall,42883,61
2012,Hawaiian/Pacific Islander,Undergraduate ,31901,57
2012,Hawaiian/Pacific Islander,Graduate ,9881,4
2012,Hawaiian/Pacific Islander,Professional ,1101,0
2011,Hawaiian/Pacific Islander,Overall,42606,59
2011,Hawaiian/Pacific Islander,Undergraduate ,31932,53
2011,Hawaiian/Pacific Islander,Graduate ,9551,5
2011,Hawaiian/Pacific Islander,Professional ,1123,1
2010,Hawaiian/Pacific Islander,Overall,41949,59
2010,Hawaiian/Pacific Islander,Undergraduate ,31252,55
2010,Hawaiian/Pacific Islander,Graduate ,9584,3
2010,Hawaiian/Pacific Islander,Professional ,1113,1
2017,Multiracial,Overall,47826,1268
2017,Multiracial,Undergraduate ,33624,1017
2017,Multiracial,Graduate ,13210,228
2017,Multiracial,Professional ,992,23
2016,Multiracial,Overall,44880,1175
2016,Multiracial,Undergraduate ,33467,987
2016,Multiracial,Graduate ,10428,170
2016,Multiracial,Professional ,985,18
2015,Multiracial,Overall,44087,1115
2015,Multiracial,Undergraduate ,32878,931
2015,Multiracial,Graduate ,10245,167
2015,Multiracial,Professional ,964,17
2014,Multiracial,Overall,43603,1014
2014,Multiracial,Undergraduate ,32579,860
2014,Multiracial,Graduate ,10037,141
2014,Multiracial,Professional ,987,13
2013,Multiracial,Overall,43398,957
2013,Multiracial,Undergraduate ,32294,806
2013,Multiracial,Graduate ,10080,136
2013,Multiracial,Professional ,1024,15
2012,Multiracial,Overall,42883,862
2012,Multiracial,Undergraduate ,31901,699
2012,Multiracial,Graduate ,9881,142
2012,Multiracial,Professional ,1101,21
2011,Multiracial,Overall,42606,794
2011,Multiracial,Undergraduate ,31932,631
2011,Multiracial,Graduate ,9551,142
2011,Multiracial,Professional ,1123,21
2010,Multiracial,Overall,41949,687
2010,Multiracial,Undergraduate ,31252,560
2010,Multiracial,Graduate ,9584,107
2010,Multiracial,Professional ,1113,20
