Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,URM,Illinois,Non-Illinois,
120228 ,KY ,581 ,BS ,0349 ,Community Health ,0495 ,Rehab & Disability Studies ,28,7,21,0,9,1,6,10,0,0,2,0,0,7,0,1,2,17,28,0,10KY0495BS
120228 ,KY ,581 ,BS ,0351 ,Kinesiology ,  ,  ,594,286,308,0,287,102,56,96,2,1,30,16,4,78,11,6,120,175,531,63,10KY0351BS
120228 ,KY ,581 ,BS ,0351 ,Kinesiology ,4049 ,Teacher Education K-12 ,16,9,7,0,11,2,1,1,0,0,0,0,1,1,0,0,2,2,15,1,10KY4049BS
120228 ,KY ,581 ,BS ,5460 ,Interdisciplinary Health Sci ,  ,  ,219,44,175,0,88,50,24,44,0,0,9,2,2,30,3,0,59,71,212,7,10KY5460BS
120228 ,KY ,581 ,BS ,5460 ,Interdisciplinary Health Sci ,5219 ,Health and Aging ,80,11,69,0,39,18,8,9,0,0,4,1,1,9,1,0,21,18,77,3,10KY5460BS
120228 ,KY ,581 ,BS ,5460 ,Interdisciplinary Health Sci ,5220 ,Health Behavior Change ,127,19,108,0,51,34,11,25,0,0,2,3,1,13,2,1,35,37,119,8,10KY5460BS
120228 ,KY ,581 ,BS ,5460 ,Interdisciplinary Health Sci ,5221 ,Health Diversity ,124,12,112,0,36,29,27,28,0,0,2,1,1,30,1,1,31,55,120,4,10KY5460BS
120228 ,KY ,581 ,MHAD ,1300 ,Health Administration ,  ,  ,35,13,22,0,12,9,4,4,0,0,0,6,0,6,0,0,9,8,24,11,1PKS1300MHAD
120228 ,KY ,581 ,MPH ,1630 ,Public Health ,  ,  ,15,6,9,0,4,0,7,1,0,0,0,3,0,7,0,0,0,8,11,4,10KS1630MPH
120228 ,KY ,581 ,MPH ,1630 ,Public Health ,5913 ,BS i-Health/MPH Public Health ,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,1PKS5913MPH
